Region,Species,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2016_Q1,2016_Q2,2016_Q3,2016_Q4,2015_Q1,2015_Q2,2015_Q3,2015_Q4,2014_Q1,2014_Q2,2014_Q3,2014_Q4,2013_Q1,2013_Q2,2013_Q3,2013_Q4,2012_Q1,2012_Q2,2012_Q3,2012_Q4,2011_Q1,2011_Q2,2011_Q3,2011_Q4,2010_Q1,2010_Q2,2010_Q3,2010_Q4,2009_Q1,2009_Q2,2009_Q3,2009_Q4,2008_Q1,2008_Q2,2008_Q3,2008_Q4,2007_Q1,2007_Q2,2007_Q3,2007_Q4,2006_Q1,2006_Q2,2006_Q3,2006_Q4,2005_Q1,2005_Q2,2005_Q3,2005_Q4,2004_Q1,2004_Q2,2004_Q3,2004_Q4,2003_Q1,2003_Q2,2003_Q3,2003_Q4,2002_Q1,2002_Q2,2002_Q3,2002_Q4
Region III ,Hairtail ,0.935,0.935,0.54,1.33,0.375,0.375,0.52,0.23,3.5,12.84,1.87,3.11,0.71,0.675,0.675,0.64,7.35,4.2,3.3,3.5,0.17,1.96,3.75,1.96,4.15,4.15,4.15,4.15,1.3,3.0,3.94,0.9,2.78,2.68,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,27.5,27.0,28.5,0.25,24.0,45.4,39.65,24.05,24.3,46.2,45.3,28.77,26.2,50.7,40.5,28.81,29.99,40.73,31.3,22.76,4.0,3.0,1.97,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0
Region III ,Indian mackerel ,0.19,0.19,0.19,0.19,18.97,0.44,1.57,6.993333333333333,38.7,10.0,17.103333333333335,2.61,72.67,28.41,33.76,0.2,52.12,4.5,6.5,5.14,34.93,37.56,45.0,99.69,15.39,10.02,39.5,98.55,5.54,21.63,23.32,9.04,5.59,19.74,8.44,5.01,19.2,26.0,11.0,11.63,17.5,24.75,8.9,8.0,19.65,17.72,8.3,7.0,21.6,18.76,9.5,8.3,10.29,23.48,17.36,17.63,8.69,15.42,26.82,20.98,54.46,44.18,39.0,3.8,75.86,84.99,66.36,38.34,64.85,107.41,66.74,45.71,56.25,93.99,50.97,55.7,59.96,85.26,70.8,46.15,31.0,48.08,28.2,21.06,29.0,47.0,29.0,28.0,21.0,40.0,23.0,24.0
Region III ,Bali sardinella ,1.45,9.57,1.45,2.45,5.32,245.25,6.61,85.72666666666667,7.5,10.0,14.043333333333331,24.63,7.255,7.255,12.11,2.4,5.433333333333334,3.2,6.6,6.5,3.18,32.54,9.5,74.8,28.42,1.15,11.3,71.8,2.68,33.34,426.64,20.86,3.58,22.37,520.49,1.76,3.2,5.0,4.1,4.1,3.5,3.7,3.6,3.6,2.125,3.75,0.5,2.125,,,,,,,,,,,,,15.0,17.5,15.2,15.9,15.4,17.85,31.05,17.68,15.0,37.4,26.8,20.33,15.67,44.91,23.5,19.17,19.52,31.37,27.47,13.62,11.0,21.0,13.39,2.04,1.0,21.0,15.0,2.0,2.0,18.0,4.0,3.0
Region III ,Indo-pacific mackerel ,11.2,5.98,0.9,4.09,3.37,5.36,4.98,11.3,67.8,31.25,8.16,9.31,37.04,28.67,41.0,5.19,46.3,13.5,7.12,10.49,31.21,33.94,25.48,121.31,18.27,11.95,29.28,103.74,7.22,16.39,55.56,24.35,308.89,162.61,27.56,302.45,23.9,45.92,26.5,818.8,24.4,24.7,25.7,8.7,24.88,16.24,26.1,11.15,27.71,17.08,31.38,14.3,20.39,32.27,41.75,15.06,27.9,13.13,39.74,30.79,109.11,44.07,64.5,25.54,96.21,112.05,122.27,54.54,88.93,142.91,133.12,129.28,113.2,78.25,131.21,117.98,82.21,63.2,71.53,78.39,44.0,82.35,45.33,26.98,42.0,81.0,44.0,33.0,38.0,66.0,32.0,62.0
Region III ,Mullet ,2.94,30.67,12.03,6.58,4.28,10.96,3.15,4.88,16.63,25.11,18.66,14.33,10.79,2.58,1.47,2.03,18.99,7.27,6.59,8.53,0.22,28.28,2.63,19.87,10.4,2.51,4.04,6.26,4.83,4.83,9.89,20.01,3.87,5.7,5.5,3.75,12.67,13.25,9.5,8.7,11.67,11.2,8.8,18.3,11.15,10.35,8.73,8.57,11.1,10.08,9.0,9.27,14.67,14.33,12.5,10.2,17.33,16.0,11.5,11.0,22.2,12.17,16.1,14.67,100.23,123.37,105.47,28.0,97.86,108.48,104.97,126.56,97.96,105.49,84.84,111.5,87.62,94.99,139.0,130.91,152.0,153.26,139.27,144.86,151.0,148.0,137.0,140.0,144.0,121.0,112.0,176.0
Region III ,Parrot fish ,,,,,0.41,0.41,0.41,0.41,8.5,10.5,9.5,9.5,,,,,6.3999999999999995,3.7,7.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,5.02,5.02,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region III ,Porgies ,6.86,6.86,6.86,6.86,,,,,3.3,6.5,4.9,4.9,,,,,5.75,6.0,5.75,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region III ,Round herring ,,,,,,,,,3.9,6.3,5.1,5.1,,,,,5.75,6.0,5.75,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,2.83,2.55,3.11,2.1666666666666665,2.5,3.0,1.0,0.7,2.5,3.0,1.2,16.6,5.0,2.23,1.0,10.0,5.0,5.666666666666667,2.0,,,,,,,,
Region III ,Roundscad ,239.93,285.82,175.34,210.13,414.27,557.72,204.73,949.99,61.89,250.6,155.92,2482.45,68.94,202.1,239.89,195.53,96.33,86.98,250.07,103.17,120.5,525.51,360.7,356.39,77.01,145.13,368.32,378.61,85.5,161.55,452.95,116.12,54.15,192.11,96.45,119.34,127.27,135.94,120.69,96.63,160.32,138.91,102.18,128.25,186.66,131.69,97.83,118.8,113.47,128.16,102.71,122.48,113.51,151.45,103.79,138.1,89.42,141.56,111.09,62.07,131.11,181.36,138.5,106.07,143.8,203.14,257.04,128.67,130.05,298.68,271.58,208.1,112.09,398.55,228.14,195.88,104.71,238.42,118.81,82.39,161.0,159.8,57.32,80.1,160.0,157.0,52.0,78.0,170.0,135.0,45.0,83.0
Region III ,Siganid ,,,,,,,,,4.8,8.5,2.51,3.77,,,,,4.233333333333333,3.5,4.5,4.7,0.13,1.815,3.5,1.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.5,2.0,0.9,0.2,0.52,4.0,2.26,2.26,5.0,4.0,4.5,4.5,,,,,,,,
Region III ,Skipjack ,151.02,250.26,195.47,205.05,345.09,214.48,174.19,624.32,59.85,184.17,182.05,990.0,90.51,145.83,178.69,140.03,126.25,149.44,256.14,217.32,143.77,324.54,323.07,476.52,86.42,172.0,357.15,479.25,153.0,164.54,367.9,148.34,194.57,275.89,164.97,98.23,383.33,197.87,194.25,377.18,538.88,230.0,233.34,336.46,495.84,222.57,252.49,316.31,601.93,259.21,248.33,317.1,902.28,266.94,296.83,274.9,861.32,152.36,317.28,335.54,557.75,270.15,187.63,421.63,600.95,443.6,345.52,493.33,559.92,398.73,364.96,328.18,469.19,355.07,359.34,371.46,417.2,240.21,178.44,402.72,807.0,705.0,357.0,497.33,1150.0,620.0,281.0,466.0,1212.0,549.0,285.0,1174.0
Region III ,Slipmouth ,6.73,10.27,6.38,7.93,8.09,3.09,5.02,7.7,39.6,29.86,19.96,20.54,23.49,15.13,25.92,7.0,12.16,13.0,5.78,15.23,16.28,15.87,5.09,11.38,3.67,1.55,1.57,2.67,0.25,3.16,10.47,5.25,2.91,1.31,3.8,6.06,8.2,7.0,5.966666666666666,2.7,8.5,7.95,4.5,5.05,8.5,6.0,3.7,5.4,7.3,5.8,6.3,5.8,14.0,11.4,9.5,5.55,12.75,13.1,6.5,6.0,29.65,42.0,45.0,10.0,59.68,90.73,68.12,46.51,53.0,72.0,69.5,50.33,47.42,46.7,59.0,52.2,30.5,40.96,69.73,59.11,6.0,56.08,49.84,23.27,6.0,59.0,51.0,24.0,10.0,48.0,31.0,34.0
Region III ,Snapper ,0.87,0.87,0.87,0.87,,,,,4.1,7.9,6.0,6.0,,,,,6.9,3.7,11.85,15.15,7.67,18.66,8.3,49.5,26.2,0.55,10.3,67.75,2.465,2.465,2.88,2.05,1.94,0.38,0.9666666666666667,0.58,1.3,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.25,4.25,4.25,3.8166666666666664,2.5,6.0,2.95,0.93,2.5,6.0,3.1,0.84,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,
Region III ,Spanish mackerel ,3.61,11.01,5.4,5.82,2.6,15.2,0.45,3.31,4.67,8.21,25.31,12.729999999999999,0.36,21.24,15.03,14.41,5.4,4.0,5.5,14.65,18.54,24.8,53.85,68.35,67.1,67.1,60.09,74.11,13.616666666666667,1.06,34.83,4.96,263.72,2.87,0.44,8.14,2.8,2.8,2.8,2.8,,,,,,,,,0.61,0.48,0.48,0.35,1.0,0.9,0.7,0.73,1.2,1.6,0.5,1.8,1.2,1.91,4.2,3.15,2.0,11.2,14.7,2.75,3.0,16.12,21.79,6.6,6.9,10.75,25.05,8.0,5.83,5.55,26.25,22.71,15.0,11.15,9.19,10.0,15.0,11.0,8.0,2.0,11.0,9.0,8.0,1.0
Region III ,Squid ,6.38,2.2,0.27,2.9499999999999997,13.66,5.33,1.1,1.0,27.61,43.15,1.24,4.77,10.23,2.75,1.92,3.01,25.48,21.37,6.23,18.49,43.79,3.83,5.47,54.07,0.5,0.58,2.19,0.6,4.65,5.79,9.44,5.07,160.38,12.3,6.26,9.58,12.23,14.0,6.1,7.5,12.17,12.1,4.6,7.43,11.9,11.55,4.55,9.37,9.2,12.6,10.75,10.55,13.33,13.1,15.83,9.7,19.8,13.23,9.23,10.97,47.0,46.2,53.42,23.2,65.1,57.83,75.55,44.4,74.13,59.54,82.25,57.17,74.58,101.0,93.0,53.4,97.42,124.01,93.16,70.64,93.0,144.17,69.98,30.03,90.0,136.0,75.0,31.0,98.0,111.0,75.0,50.0
Region III ,Threadfin bream ,,,,,1.7866666666666668,1.0,3.12,1.24,6.78,9.88,8.33,8.33,3.8,3.44,0.51,2.3,15.63,5.33,5.05,7.75,5.82,16.67,33.0,89.05,15.83,3.9,23.15,66.14,5.6,6.4,37.93,34.76,5.45,8.5,8.25,26.52,15.65,10.5,3.75,16.84,15.4,13.7,4.3,6.95,14.76,13.0,4.9,11.0,16.13,12.516666666666666,10.15,11.27,15.0,16.4,16.75,15.4,15.33,13.0,16.0,16.17,36.6,29.33,30.5,12.25,34.4,45.55,71.4,46.22,33.87,45.72,68.15,47.65,63.2,77.44,75.0,41.83,72.13,82.94,75.01,60.27,48.0,148.0,68.75,32.08,48.0,151.0,75.0,32.0,63.0,128.0,51.0,77.0
Region III ,Yellowfin tuna ,108.19,169.01,210.23,266.45,172.2,558.27,191.95,371.09,55.08,158.6,287.38,498.26,60.03,68.88,166.02,98.71,83.52,122.18,381.83,162.74,86.94,257.21,396.15,462.66,75.59,102.61,437.64,486.61,76.27,105.69,247.07,97.01,75.7,49.68,48.22,64.75,102.99,105.5,53.03,234.77,147.72,124.83,49.62,158.04,157.05,114.26,55.76,144.89,211.43,113.27,65.45,146.35,453.31,117.87,80.24,192.82,288.82,80.69,122.45,104.29,398.48,177.34,88.38,107.84,179.53,169.53,142.9,130.13,177.84,153.0,181.78,126.25,172.34,152.0,292.66,175.23,183.87,131.86,168.38,212.47,281.0,188.0,102.0,243.33,265.0,170.0,92.0,233.0,258.0,125.0,141.0,206.0
Region III ,Others,82.26,95.38,100.16,184.32,23.25,70.22,43.95,110.6,99.29,144.34,43.87,114.53,65.33,25.12,5.19,5.62,33.5,13.43,61.7,24.15,146.16,107.12,32.8,180.96,22.34,10.36,35.75,225.66,40.86,65.06,108.31,107.01,18.22,26.43,23.43,50.6,30.0,169.52,22.36,20.91,23.6,20.71,17.21,24.96,25.0,30.09,14.09,26.06,22.57,21.67,7.47,29.05,29.34,24.19,16.98,26.88,31.94,32.46,32.72,24.39,219.1,147.45,140.25,20.96,271.6,623.71,288.1,221.76,282.48,639.55,262.3,336.56,217.2,618.92,280.04,348.89,181.45,707.48,258.67,319.25,518.0,1227.9,395.75,513.5,404.0,1222.0,398.0,487.0,643.0,1045.0,395.0,407.0
Region IV-A ,Acetes ,1.65,1.65,1.65,1.65,2.0,2.0,2.0,2.0,7.16,2.03,3.23,0.5,19.66,5.12,10.68,11.82,11.870000000000001,11.870000000000001,14.0,9.74,21.2,18.05,13.98,17.743333333333336,13.0,15.65,7.49,18.25,7.06,2.91,8.79,15.33,20.0,11.835,11.835,3.67,4.2,4.2,4.2,4.2,29.8,15.285,0.77,15.285,12.8,0.23,5.23,2.66,10.15,6.973333333333334,0.55,10.22,10.51,10.51,10.51,10.51,5.489999999999999,0.2,10.78,5.489999999999999,3.3333333333333335,0.9,7.4,1.7,1.99,1.99,0.08,3.9,1.0,76.25,17.0,1.2,17.526666666666667,0.3,21.0,31.28,6.0,6.0,6.0,6.0,12.0,12.0,12.0,12.0,5.5,5.5,10.0,1.0,33.0,79.0,17.0,3.0
Region IV-A ,Anchovies ,125.78,12.13,22.06,49.73,664.59,123.46,29.73,32.16,202.64,134.55,29.25,141.1,36.04,35.01,37.51,57.98,30.61,127.86,19.08,13.04,80.97,133.9,75.8,153.05,40.74,16.56,41.03,62.6,54.8,47.15,26.25,167.33,200.51,58.49,37.68,439.53,670.55,142.15,91.15,254.43,1128.75,122.75,39.36,273.34,314.18,91.31,84.67,127.45,1195.64,317.83,79.24,158.32,1169.33,491.54,163.66,951.85,1266.3,446.98,231.78,939.78,774.54,348.28,329.53,848.75,705.11,322.76,99.66,659.09,894.05,671.36,110.34,566.07,835.58,137.73,54.26,934.62,1270.21,2007.34,67.59,878.48,1292.48,1753.45,104.4,1151.83,1539.0,1729.0,62.0,1396.0,1689.0,1884.0,87.0,1669.0
Region IV-A ,Big-eyed scad ,180.38,71.44,347.5,203.41,567.55,97.61,161.63,113.43,63.46,48.23,98.74,185.46,256.02,228.33,165.54,102.85,138.11,301.22,153.49,126.55,257.09,253.03,148.12,171.33,147.6,239.24,198.06,149.37,81.93,117.14,634.44,755.1,84.77,71.69,472.86,1417.95,141.34,186.01,1078.97,136.26,352.43,131.64,927.9,434.79,141.0,117.73,451.67,590.45,227.98,456.1,492.26,415.67,167.12,546.99,641.38,212.55,114.31,601.06,715.28,203.88,342.19,443.51,249.58,190.23,787.04,539.9,280.33,370.01,883.42,168.12,235.86,257.67,455.59,64.87,112.73,68.16,607.3,805.07,159.63,357.09,748.62,686.56,332.5,465.67,753.0,738.0,458.0,515.0,800.0,879.0,411.0,634.0
Region IV-A ,Bigeye tuna ,364.66,825.7,904.14,391.76,225.56,332.12,239.46,410.71,243.72,226.49,675.85,372.44,250.67,281.77,428.67,304.71,66.36,416.6,617.02,198.86,59.69,382.25,424.03,394.56,281.28,61.02,208.22,147.68,177.33,131.56,76.18,796.82,200.94,149.23,110.13,950.63,137.56,212.83,112.1,100.52,79.67,294.86,307.89,372.05,255.87,327.92,337.96,661.24,168.98,125.78,186.61,797.69,85.82,93.37,220.68,83.03,20.44,93.47,235.87,115.33,92.48,42.7,36.27,10.33,287.99,204.27,194.08,103.81,204.89,180.1,150.3,120.46,73.49,6.23,143.62,78.43,23.59,161.74,165.7,48.24,,,,,,,,,,,,
Region IV-A ,Blue crab ,,,,,,,,,13.84,4.5,9.17,9.17,42.5,60.48,57.07,40.66,182.61,56.58,86.62,32.72,76.36,86.96,142.74,65.94,49.86,102.0,243.58,78.26,109.14,98.51,46.45,77.23,32.98,67.77,19.62,47.48,26.62,67.09,50.74,51.3,64.37,73.37,64.33,92.06,30.42,41.89,37.23,39.92,25.35,33.37,43.14,38.55,24.89,28.16,31.01,29.13,30.64,27.03,32.54,34.53,27.88,39.45,37.4,18.14,109.4,189.0,31.34,25.51,115.67,93.74,37.6,35.57,2.85,6.0,33.1,19.87,7.16,4.36,15.15,6.85,88.72,19.0,53.86,53.86,82.0,85.0,6.0,22.0,76.0,101.0,61.0,101.0
Region IV-A ,Caesio ,68.0,32.0,32.7,48.0,708.74,29.51,46.48,290.0,101.38,723.95,1171.95,844.34,158.11,221.84,210.04,174.57,138.5,110.06,182.24,163.22,164.36,158.03,147.32,153.36,117.73,70.86,143.12,108.2,116.38,94.29,162.3,70.1,155.65,104.41,99.04,71.6,648.62,222.89,74.3,25.5,153.25,121.7,66.86,66.5,85.73,137.55,55.0,126.1,43.83,159.34,85.65,313.03,21.98,66.17,93.2,131.83,244.1,102.27,107.0,104.48,68.44,164.72,162.08,98.5,52.13,232.0,255.18,53.45,241.04,347.01,111.88,255.92,194.5,191.36,95.23,132.07,364.96,555.19,221.8,46.55,80.0,139.0,215.0,157.0,11.0,59.0,105.0,13.0,25.0,28.0,45.0,14.0
Region IV-A ,Cavalla ,69.18,26.14,39.18,81.7,289.91,65.97,54.92,55.39,53.36,41.14,104.68,92.27,173.95,60.74,46.56,44.73,97.66,64.76,39.21,44.78,50.23,95.7,36.74,50.64,46.76,49.12,64.49,49.89,24.73,62.35,75.44,68.71,37.28,18.55,65.14,36.61,11.92,617.17,122.04,34.37,119.69,823.92,42.13,292.39,92.93,799.1,254.63,307.62,266.97,139.63,182.22,251.71,222.12,52.41,199.25,223.44,195.35,52.87,106.54,138.09,295.39,47.42,115.32,143.15,331.45,66.23,166.61,151.68,66.47,65.57,45.81,51.71,17.47,33.68,51.94,33.74,22.07,9.88,12.74,129.26,35.03,36.16,70.73,141.0,14.0,8.0,250.0,154.0,10.0,25.0,20.0,13.0
Region IV-A ,Crevalle ,47.31,64.37,39.47,37.65,33.45,33.47,50.0,58.1,12.97,18.28,38.0,39.46,35.5,31.2,22.3,18.23,24.42,32.7,35.74,36.3,36.67,29.25,56.76,26.04,64.44,47.47,69.22,41.07,60.27,44.56,48.89,61.21,17.8,7.5,39.31,58.07,24.67,20.19,153.45,36.37,3.6,2.72,356.69,115.5,32.56,8.06,30.66,25.26,24.33,19.48,33.57,48.46,35.79,22.05,56.97,120.55,21.67,24.5,61.97,116.39,29.49,46.42,72.39,108.02,77.6,10.75,29.54,149.5,110.8,48.48,21.0,15.4,43.4,53.47,29.14,17.48,56.86,56.12,31.24,20.63,25.0,13.0,18.0,20.0,63.0,13.0,44.0,125.0,15.0,24.0,44.0,13.0
Region IV-A ,Eastern little tuna ,17.65,136.27,2.96,52.293333333333344,64.71,6.46,66.2,121.47,7.17,59.55,283.28,318.57,46.795,20.05,46.795,73.54,8.280000000000001,9.32,7.24,8.280000000000001,,,,,6.83,6.83,6.83,6.83,,,,,0.35,2.875,5.4,2.875,6.786666666666666,2.96,1.69,15.71,16.13,16.13,16.13,16.13,0.77,1.88,0.5,1.05,3.0599999999999996,5.18,0.94,3.0599999999999996,1.86,1.6,1.86,2.12,66.84500000000001,66.84500000000001,133.33,0.36,111.5,111.5,222.5,0.5,181.82,0.98,91.39999999999999,91.39999999999999,65.8,33.07,2.25,26.73,0.71,7.21,14.0,1.74,3.01,0.82,0.41,0.89,,,,,,,,,,,,
Region IV-A ,Fimbriated sardines ,105.5,14.1,4.41,98.14,60.47,16.9,4.72,42.0,27.44,47.68,35.62,89.9,189.41,82.9,51.55,85.33,1182.93,127.58,67.84,49.36,1167.55,990.26,729.06,57.35,1964.69,1115.52,962.32,832.18,1622.4,1434.6,745.39,673.5,1639.39,1283.16,1208.22,260.49,3940.02,788.67,542.26,378.41,2223.82,415.85,2396.66,401.16,1310.01,115.43,827.23,204.57,470.34,1013.14,828.2,299.89,354.77,943.92,809.96,652.77,374.27,991.05,745.49,286.53,1199.87,724.58,629.52,276.66,1190.13,879.52,874.44,208.24,307.43,513.82,229.35,175.32,256.47,135.89,105.6,186.08,252.32,130.4,129.52,230.51,200.38,96.75,24.0,101.0,213.0,124.0,63.0,140.0,244.0,253.0,39.0,150.0
Region IV-A ,Flying fish ,39.04,46.29,74.64,40.69,10.35,16.91,57.78,25.13,66.66,26.63,73.47,10.39,7.9433333333333325,4.65,3.0,16.18,48.61,48.61,48.61,48.61,51.41,51.41,51.41,51.41,31.84,31.84,31.84,31.84,0.6,4.745,4.745,8.89,2.93,2.93,2.93,2.93,0.23,0.23,0.23,0.23,16.59,10.816666666666668,0.68,15.18,6.654999999999999,6.654999999999999,3.21,10.1,2.79,2.79,2.79,2.79,,,,,3.78,3.78,3.78,3.78,3.3699999999999997,1.82,7.76,0.53,,,,,0.7,0.7,0.7,0.7,3.16,3.16,3.16,3.16,1.0,1.0,1.0,1.0,,,,,1.6666666666666667,1.0,1.0,3.0,19.0,20.0,29.0,22.666666666666668
Region IV-A ,Frigate tuna ,731.24,1379.38,1414.99,960.33,1094.58,702.26,575.06,669.98,714.88,605.12,691.07,277.08,759.74,919.05,1067.04,206.34,1128.57,840.21,1426.11,466.79,1359.51,1824.98,1110.74,314.54,1393.45,1954.64,1365.74,1441.76,2216.29,1596.72,1582.79,991.34,2115.33,1816.24,1482.7,1340.03,1624.45,6566.86,1387.61,1841.34,2825.54,4645.13,2211.53,2018.62,2658.16,3786.3,2325.88,2187.93,3732.83,3301.37,1686.06,2606.86,2318.3,3062.33,1657.1,1579.06,2721.75,4136.25,1904.06,1743.84,4245.21,3460.77,2746.81,1438.48,3472.37,4361.49,2192.44,1669.56,3630.49,4056.11,714.34,557.2,1570.42,3649.52,721.03,379.43,1312.95,1791.94,534.91,773.68,1474.45,1071.2,7416.14,746.23,1684.0,1475.0,7187.0,655.0,862.0,1346.0,6896.0,768.0
Region IV-A ,Goatfish ,15.03,3.35,0.86,5.31,0.85,2.0,3.22,13.5,9.0,2.15,18.93,7.77,16.0,14.45,14.65,18.88,63.51,5.2,23.46,37.37,29.03,21.0,38.1,35.04,29.7,37.48,61.15,29.07,29.1,62.66,36.38,23.69,15.76,5.92,567.93,3.16,33.13,24.33,160.04,21.38,71.06,148.32,139.85,67.8,71.13,31.19,97.08,95.47,329.07,70.88,137.36,83.26,258.58,33.26,92.52,178.18,301.2,43.62,130.79,205.63,152.49,35.07,126.62,191.34,1224.48,1.19,2.88,220.65,1146.09,741.86,35.96,67.6,330.52,704.81,32.29,24.27,341.82,681.42,8.18,19.88,338.95,687.65,19.2,358.2,336.0,655.0,47.0,424.0,590.0,654.0,29.0,540.0
Region IV-A ,Grouper ,42.6,5.5,4.77,34.42,87.39,39.88,14.34,41.49,49.38,87.97,89.08,114.32,48.37,44.33,28.96,34.97,126.19,28.14,61.98,107.15,58.13,46.55,45.63,86.95,93.3,57.19,48.17,109.82,13.64,28.89,41.79,102.4,15.35,26.76,58.47,42.53,27.58,103.95,101.38,49.01,54.27,98.54,144.37,102.53,63.28,67.85,68.66,58.93,144.68,55.31,84.81,75.26,131.42,106.83,145.19,40.92,97.61,44.66,73.75,64.34,139.85,75.66,41.94,53.16,53.17,52.86,53.11,37.6,55.94,81.71,42.12,16.3,3.98,26.89,33.8,12.17,12.11,26.81,23.41,11.06,15.0,18.0,6.0,17.0,7.0,9.0,7.0,32.0,36.0,43.0,45.0,9.0
Region IV-A ,Hairtail ,87.94,24.82,51.62,82.19,270.98,61.75,66.41,41.63,126.88,33.15,51.76,92.95,177.94,119.67,55.63,56.39,176.48,85.4,70.4,61.13,150.08,84.18,50.68,73.07,296.39,448.09,514.51,69.17,104.45,423.17,1035.46,215.4,843.1,699.35,854.84,59.93,459.12,125.07,40.63,68.07,64.85,35.79,118.13,62.8,40.0,10.15,191.66,21.02,167.5,24.17,104.14,9.4,111.62,1219.78,92.34,85.13,126.28,1185.92,37.19,49.9,49.67,1582.41,48.05,76.18,168.83,2451.29,30.08,65.04,281.54,582.07,36.49,27.2,32.58,442.22,52.7,22.67,314.89,446.68,29.47,14.32,298.13,304.76,8.0,7.0,245.0,294.0,11.0,12.0,274.0,335.0,22.0,255.0
Region IV-A ,Indian mackerel ,251.5,53.37,140.46,221.16,942.75,319.56,275.39,135.33,449.16,250.2,181.06,261.88,784.61,354.58,287.91,176.64,1091.93,419.96,383.09,259.42,1176.96,1498.73,931.52,350.57,188.76,1382.21,655.26,820.77,1631.84,1114.67,736.32,878.26,93.82,228.61,1074.64,1127.64,2620.93,394.36,2401.6,2329.75,3074.59,3007.13,2130.23,2191.79,3280.2,3003.46,2446.16,2031.17,1532.88,2945.09,2442.52,2069.12,1343.22,3048.25,3216.29,1816.86,1522.18,4008.26,3487.62,2021.43,1961.65,1722.74,3918.33,1557.97,2114.03,1876.66,3994.84,1758.62,2985.53,2163.42,5226.61,650.03,1763.6,889.86,10183.21,410.74,818.21,808.32,9794.5,581.39,1293.14,1091.14,3136.53,608.49,1516.0,1237.0,3802.0,783.0,964.0,1264.0,3690.0,877.0
Region IV-A ,Bali sardinella ,166.54,559.65,100.29,153.04,1746.44,483.78,85.68,75.95,92.49,172.11,168.88,338.46,330.26,130.49,125.7,115.61,1198.1,372.18,386.38,59.86,1117.98,1551.36,523.36,165.96,1311.6,1752.02,631.69,1022.35,2370.39,2496.51,641.28,954.96,2246.64,2782.7,644.73,711.93,466.58,1194.1,560.79,321.87,400.71,664.56,525.59,178.85,271.9,433.31,146.33,120.31,718.42,1287.15,2045.84,362.63,801.11,1812.84,1870.34,2040.97,1582.46,3707.79,2578.42,2524.77,1677.63,2335.31,2487.81,2335.7,2249.19,581.63,2443.48,2166.25,2470.58,3676.28,4050.87,3242.33,1654.98,6170.6,1159.39,2550.14,2574.66,3021.14,2322.02,3342.57,2001.73,2209.99,240.88,1599.93,1860.0,2220.0,368.0,1364.0,1753.0,2296.0,301.0,1716.0
Region IV-A ,Indo-pacific mackerel ,53.65,67.43,60.82,73.06,6.7,95.72,185.18,89.67,19.73,14.2,16.05,29.53,49.62,125.94,31.88,34.0,56.38,67.03,73.43,67.57,48.31,66.06,52.23,54.22,67.37,81.06,75.02,60.24,50.7,46.96,82.27,79.58,185.48,178.42,59.69,69.96,119.26,117.03,99.13,181.26,71.62,102.79,78.37,240.51,86.11,147.71,96.57,154.47,364.02,166.6,85.68,174.61,284.29,233.3,330.28,412.6,172.08,153.29,276.68,375.73,169.64,113.74,198.87,156.02,339.45,88.6,133.25,155.78,230.0,204.08,306.52,144.29,290.67,240.38,252.5,247.18,217.11,269.82,288.98,510.67,567.86,139.0,292.0,410.7,609.0,195.0,193.0,433.0,452.0,564.0,285.0,569.0
Region IV-A ,Mullet ,4.15,3.075,2.0,3.075,6.0,0.5,1.25,9.27,4.22,3.35,1.0,2.856666666666667,8.85,0.09,0.6,6.35,7.94,3.2,4.75,4.6,8.02,8.35,15.81,13.7,5.95,3.7,3.04,6.15,0.4,3.42,0.95,8.91,14.23,1.44,4.58,0.6,0.18,0.1,16.21,13.58,46.76,7.96,4.34,11.19,28.37,14.57,8.01,39.78,30.39,11.26,2.84,39.32,48.13,5.04,0.31,54.44,14.93,14.06,11.47,10.15,4.79,0.77,3.05,3.88,0.25,3.26,6.27,3.26,9.49,16.72,8.63,2.3,1.01,2.0,1.0,2.36,2.0,0.34,0.4,11.27,1.0,0.07,2.0,1.0,1.0,1.0,6.0,7.0,15.0,18.0,9.0,3.0
